ticket_id,description,category,severity,resolution,resolution_cluster,user_tier,department,auto_resolved,verified,created_at
INC-10014,vpn dns resolution failing for internal hostnames,VPN Problems,P3,Push updated VPN configuration to user device,vpn_config_push,standard,HR,True,True,2025-01-07T00:00:00Z
INC-10015,mailbox full cannot receive new emails,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,Operations,True,True,2025-03-29T00:00:00Z
INC-10016,dns resolution failing some sites load some dont,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Operations,True,True,2025-01-18T00:00:00Z
INC-10017,vpn cert expired need renew urgent!!,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,HR,True,True,2025-05-04T00:00:00Z
INC-10018,vpn error 812 authentication rejected need this fixed today,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,Finance,True,True,2025-07-01T00:00:00Z
INC-10019,USB ports blocked by policy need exception need this fixed today,Permissions/Access,P3,Fix Group Policy Object causing access denial,permission_policy_fix,standard,Sales,True,True,2025-02-14T00:00:00Z
INC-10020,"Hi team, missing SAP roles after system migration",SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Operations,True,True,2025-10-14T00:00:00Z
INC-10021,user account not synced from HR to AD this is urgent,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Legal,True,True,2026-01-30T00:00:00Z
INC-10022,outlook keeps asking for password repeatedly!!,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Finance,True,True,2025-04-29T00:00:00Z
INC-10023,outlook not starting after office 365 update need this fixed today,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Engineering,True,True,2025-01-06T00:00:00Z
INC-10024,urgent - receiving duplicate emails for every message,Email Access,P3,Remove conflicting email rules or corrupted filters,email_rule_fix,standard,Operations,True,True,2025-04-17T00:00:00Z
INC-10025,SAP GUI version outdated cannot connect to new server,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Procurement,True,True,2025-12-05T00:00:00Z
INC-10026,vpn auto connect feature stopped working need this fixed today,VPN Problems,P3,Push updated VPN configuration to user device,vpn_config_push,standard,Procurement,True,True,2025-04-22T00:00:00Z
INC-10027,vpn connected but teams still shows offline please help asap,VPN Problems,P3,Push updated VPN configuration to user device,vpn_config_push,standard,Marketing,False,True,2025-11-09T00:00:00Z
INC-10028,SAP credential reset not working via self service,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Marketing,True,True,2025-12-03T00:00:00Z
INC-10029,"Hi team, wrong plant assigned to SAP user profile",SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Legal,True,True,2025-10-15T00:00:00Z
INC-10030,"Hi team, software license tied to old machine need transfer need this fixed today",Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Legal,True,True,2025-02-17T00:00:00Z
INC-10031,folder showing no access to owner after permission audit,Permissions/Access,P3,Grant folder/share access permissions in AD,permission_folder,standard,Marketing,False,True,2025-04-28T00:00:00Z
INC-10032,cant install software says requires admin rights need this fixed today,Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,Procurement,True,True,2025-10-15T00:00:00Z
INC-10033,software center not loading on my laptop today,Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,Operations,True,True,2025-04-13T00:00:00Z
INC-10034,"Hi team, new desk no network connection port not active",Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,IT,True,True,2025-06-11T00:00:00Z
INC-10035,network printer IP changed now no one can print need this fixed today!!,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,IT,True,True,2025-06-07T00:00:00Z
INC-10036,onedrive sync blocked by IT policy on this machine,Permissions/Access,P3,Fix Group Policy Object causing access denial,permission_policy_fix,standard,Legal,True,True,2025-07-16T00:00:00Z
INC-10037,ip address conflict warning on my machine need this fixed today,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Legal,True,True,2025-08-12T00:00:00Z
INC-10038,windows password expired need reset,Auth/SSO,P3,Reset user password via LDAP / Active Directory,password_reset,standard,Sales,True,True,2025-08-04T00:00:00Z
INC-10039,CEO mailbox full cannot send emails urgent,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,vip,HR,False,True,2025-06-19T00:00:00Z
INC-10040,MFA app not working after phone change,Auth/SSO,P3,Reconfigure or reset MFA / 2FA device,mfa_reconfigure,standard,Engineering,True,True,2025-08-25T00:00:00Z
INC-10041,outlook keeps asking for password repeatedly need this fixed today,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Sales,True,True,2025-10-18T00:00:00Z
INC-10042,printer randomly cancelling jobs mid print,Printer Issues,P3,Clear stuck print queue and restart spooler service,printer_queue_clear,standard,Sales,True,True,2026-01-30T00:00:00Z
INC-10043,new joiner needs printer mapped on laptop,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,Finance,True,True,2025-03-31T00:00:00Z
INC-10044,SAP user deactivated after leave this is urgent,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Marketing,True,True,2025-04-09T00:00:00Z
INC-10045,software trial version expired need full license need this fixed today,Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Sales,True,True,2025-07-30T00:00:00Z
INC-10046,"Hi team, duplex printing not working on shared printer",Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,Procurement,True,True,2025-09-16T00:00:00Z
INC-10047,urgent - secure print jobs not releasing at device with pin,Printer Issues,P3,Clear stuck print queue and restart spooler service,printer_queue_clear,standard,IT,True,True,2025-02-06T00:00:00Z
INC-10048,new role need access to additional systems this is urgent,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Logistics,True,True,2025-05-13T00:00:00Z
INC-10049,SAP workflow tasks not appearing in my inbox,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,IT,True,True,2025-05-11T00:00:00Z
INC-10050,SAP transaction blocked getting authorisation error,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Sales,True,True,2025-05-16T00:00:00Z
INC-10051,entire company cannot access emails since server migration,Email Access,P1,Rebuild or repair Outlook profile,email_profile_repair,standard,Legal,False,True,2025-05-07T00:00:00Z
INC-10052,"Hi team, outlook disconnected from exchange shows working offline",Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Legal,True,True,2025-09-20T00:00:00Z
INC-10053,entire floor network down after maintenance work,Network/Connectivity,P2,Enable network port on switch for user device,network_port_enable,standard,Sales,False,True,2025-03-14T00:00:00Z
INC-10054,new server needs network port configured in datacenter!!,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,Engineering,True,True,2025-10-02T00:00:00Z
INC-10055,calendar showing wrong timezone after international travel!!,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Engineering,True,True,2025-08-22T00:00:00Z
INC-10056,meeting invites not showing in calendar need this fixed today,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Legal,True,True,2025-02-07T00:00:00Z
INC-10057,slow dns lookup affecting all applications,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Finance,True,True,2026-01-28T00:00:00Z
INC-10058,stapling option missing from printer settings after driver update,Printer Issues,P4,Reinstall or update printer driver,printer_driver_install,standard,IT,True,True,2025-11-15T00:00:00Z
INC-10059,SAP GUI crashes immediately on launch,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Procurement,True,True,2025-12-02T00:00:00Z
INC-10060,laptop wifi not detecting 5ghz band after driver update this is urgent,Network/Connectivity,P3,Update network adapter driver,network_driver_update,standard,Finance,True,True,2025-07-21T00:00:00Z
INC-10061,getting invalid credentials error even with correct password,Auth/SSO,P3,Clear SSO token cache and force re-authentication,sso_token_refresh,standard,HR,False,True,2025-04-14T00:00:00Z
INC-10062,two step verification sending codes to old number please help asap,Auth/SSO,P3,Reconfigure or reset MFA / 2FA device,mfa_reconfigure,standard,Finance,True,True,2025-02-08T00:00:00Z
INC-10063,passwrd expired plz reset asap,Auth/SSO,P3,Reset user password via LDAP / Active Directory,password_reset,standard,Engineering,True,True,2026-01-18T00:00:00Z
INC-10064,new mac laptop vpn client not compatible,VPN Problems,P3,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,Procurement,True,True,2025-09-12T00:00:00Z
INC-10065,getting certificate not trusted error on vpn,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,Sales,True,True,2025-05-04T00:00:00Z
INC-10066,urgent - account locked third time this week,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Engineering,True,True,2025-09-15T00:00:00Z
INC-10067,cant access any websites but internal systems work need this fixed today,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Logistics,True,True,2025-08-26T00:00:00Z
INC-10068,pdf printing distorted text scrambled,Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,HR,True,True,2025-11-12T00:00:00Z
INC-10069,duplex printing not working on shared printer need this fixed today please help asap,Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,Operations,True,True,2025-10-05T00:00:00Z
INC-10070,"Hi team, cant login after returning from maternity leave",Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Legal,True,True,2025-06-22T00:00:00Z
INC-10071,printer shows ready but nothing comes out please help asap,Printer Issues,P3,Clear stuck print queue and restart spooler service,printer_queue_clear,standard,Marketing,False,False,2025-03-30T00:00:00Z
INC-10072,out of office not turning off after disabling,Email Access,P3,Remove conflicting email rules or corrupted filters,email_rule_fix,standard,Engineering,True,True,2025-09-26T00:00:00Z
INC-10073,network printer IP changed now no one can print,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,Logistics,True,True,2025-06-27T00:00:00Z
INC-10074,"Hi team, account disabled by IT need access back",Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Procurement,True,True,2025-03-11T00:00:00Z
INC-10075,urgent - wrong cost centre showing in SAP user profile,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Finance,True,True,2025-01-30T00:00:00Z
INC-10076,sap passwrd reset pls urgent,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Sales,True,True,2025-07-14T00:00:00Z
INC-10077,SAP background jobs stuck in queued state need this fixed today,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Procurement,True,True,2025-09-10T00:00:00Z
INC-10078,new software request not in software center,Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,Sales,True,True,2026-01-08T00:00:00Z
INC-10079,Managing Director mailbox full before international travel,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,vip,Finance,False,True,2025-12-12T00:00:00Z
INC-10080,"Hi team, network authentication failing for wired connection",Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,Sales,True,True,2025-12-19T00:00:00Z
INC-10081,cant access SAP purchasing module need this fixed today,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Operations,True,True,2025-12-22T00:00:00Z
INC-10082,SAP credential reset not working via self service need this fixed today,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Legal,True,True,2025-06-26T00:00:00Z
INC-10083,outlook not opening crashes on startup this is urgent,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Legal,True,True,2025-04-07T00:00:00Z
INC-10084,getting ABAP dump error in SAP when running report,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Engineering,False,False,2025-10-03T00:00:00Z
INC-10085,SAP slow since morning whole floor affected this is urgent,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Operations,False,True,2025-09-20T00:00:00Z
INC-10086,print jobs stuck in queue nothing printing please help asap,Printer Issues,P3,Clear stuck print queue and restart spooler service,printer_queue_clear,standard,Engineering,True,True,2025-03-11T00:00:00Z
INC-10087,shared calendar permissions removed after AD change,Email Access,P3,Remove conflicting email rules or corrupted filters,email_rule_fix,standard,Procurement,False,True,2025-02-06T00:00:00Z
INC-10088,vpn says maximum connections reached need this fixed today,VPN Problems,P3,Push updated VPN configuration to user device,vpn_config_push,standard,Logistics,True,True,2025-12-22T00:00:00Z
INC-10089,email archive not accessible after migration to new server,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,Procurement,True,True,2025-11-22T00:00:00Z
INC-10090,account locked after wrong password attempts need this fixed today!!,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,HR,True,True,2025-11-16T00:00:00Z
INC-10091,google authenticator codes rejected by system!!,Auth/SSO,P3,Reconfigure or reset MFA / 2FA device,mfa_reconfigure,standard,HR,True,True,2025-04-03T00:00:00Z
INC-10092,printer spooler service keeps crashing need this fixed today please help asap,Printer Issues,P3,Clear stuck print queue and restart spooler service,printer_queue_clear,standard,IT,True,True,2025-06-05T00:00:00Z
INC-10093,office 365 apps showing unlicensed product need this fixed today,Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Logistics,True,True,2025-12-07T00:00:00Z
INC-10094,mass software rollout failing on 200 machines company wide,Software Install,P1,Run installer with elevated admin privileges,software_admin_install,standard,Sales,False,True,2025-07-31T00:00:00Z
INC-10095,urgent - network performance degraded after switch replacement,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,HR,False,False,2025-10-24T00:00:00Z
INC-10096,CIO vpn certificate expired cannot connect remotely,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,vip,Sales,False,True,2025-02-17T00:00:00Z
INC-10097,urgent - SAP running extremely slow taking 5 minutes to load,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Operations,False,False,2025-11-14T00:00:00Z
INC-10098,urgent - batch job in SAP failed overnight needs investigation,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,HR,False,True,2025-02-04T00:00:00Z
INC-10099,data centre network switch failed entire rack offline,Network/Connectivity,P1,Enable network port on switch for user device,network_port_enable,standard,Sales,False,True,2025-09-30T00:00:00Z
INC-10100,dhcp not assigning ip address to new machine need this fixed today,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,IT,True,True,2025-11-23T00:00:00Z
INC-10101,my session expires immediately after login,Auth/SSO,P3,Clear SSO token cache and force re-authentication,sso_token_refresh,standard,Engineering,False,False,2025-02-09T00:00:00Z
INC-10102,zoom not working after antivirus update blocked it need this fixed today,Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,HR,True,True,2025-01-08T00:00:00Z
INC-10103,new printer not showing up in add printer wizard need this fixed today!!,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,Marketing,True,True,2025-07-05T00:00:00Z
INC-10104,"Hi team, SAP completely unresponsive since 9am",SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Engineering,True,True,2025-09-03T00:00:00Z
INC-10105,entire office cant print since this morning,Printer Issues,P2,Clear stuck print queue and restart spooler service,printer_queue_clear,standard,Legal,False,True,2025-08-26T00:00:00Z
INC-10106,account got disabled need it re-enabled urgently this is urgent,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Legal,True,True,2025-03-05T00:00:00Z
INC-10107,teams desktop app not installing on windows 11 need this fixed today,Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Legal,True,True,2025-12-13T00:00:00Z
INC-10108,urgent - vpn hangs on connecting screen indefinitely,VPN Problems,P3,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,Operations,False,True,2025-06-25T00:00:00Z
INC-10109,cant send emails getting error 550,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,IT,True,True,2025-03-30T00:00:00Z
INC-10110,zoom not working after antivirus update blocked it,Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,Procurement,True,True,2026-01-15T00:00:00Z
INC-10111,SVP Finance SAP locked out during audit week,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,vip,Legal,False,True,2025-09-30T00:00:00Z
INC-10112,cant access HR system after department transfer please help asap,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Legal,True,True,2025-02-27T00:00:00Z
INC-10113,vpn client not starting on windows 11 after upgrade,VPN Problems,P3,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,HR,True,True,2025-01-18T00:00:00Z
INC-10114,VP Procurement missing SAP roles cannot raise purchase orders,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,vip,Finance,False,True,2025-04-07T00:00:00Z
INC-10115,local network fine but cloud services unreachable need this fixed today,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Engineering,True,True,2025-04-23T00:00:00Z
INC-10116,admin rights revoked cant do basic IT tasks,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Legal,True,True,2025-07-04T00:00:00Z
INC-10117,printer driver missing after laptop refresh,Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,Procurement,True,True,2026-01-07T00:00:00Z
INC-10118,SAP login not working since morning need this fixed today,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Operations,True,True,2025-08-04T00:00:00Z
INC-10119,onedrive sync blocked by policy on this machine need this fixed today,Permissions/Access,P3,Fix Group Policy Object causing access denial,permission_policy_fix,standard,Procurement,True,True,2025-03-31T00:00:00Z
INC-10120,enterprise app not available in company portal for my device,Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Procurement,True,True,2025-02-06T00:00:00Z
INC-10121,vpn root certificate not trusted on new device,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,Marketing,True,True,2025-12-10T00:00:00Z
INC-10122,a3 printing defaulting to a4 size incorrect this is urgent,Printer Issues,P4,Reinstall or update printer driver,printer_driver_install,standard,Marketing,True,True,2025-05-27T00:00:00Z
INC-10123,"Hi team, outlook very slow takes forever to search emails",Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,Engineering,True,True,2025-07-01T00:00:00Z
INC-10124,printer printing blank pages,Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,HR,True,True,2025-03-17T00:00:00Z
INC-10125,cannot change expired password from vpn login screen,Auth/SSO,P3,Reset user password via LDAP / Active Directory,password_reset,standard,Legal,True,True,2025-08-20T00:00:00Z
INC-10126,password expired cannot login to laptop need this fixed today,Auth/SSO,P3,Reset user password via LDAP / Active Directory,password_reset,standard,Sales,True,True,2025-03-10T00:00:00Z
INC-10127,some websites blocked incorrectly by firewall this is urgent,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Finance,True,True,2026-01-09T00:00:00Z
INC-10128,vpn logs showing tls handshake failure,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,Procurement,True,True,2025-02-28T00:00:00Z
INC-10129,my credentials work on phone but not on laptop,Auth/SSO,P3,Clear SSO token cache and force re-authentication,sso_token_refresh,standard,IT,False,True,2025-12-13T00:00:00Z
INC-10130,new ip phone not getting network connectivity,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,Operations,True,True,2025-10-19T00:00:00Z
INC-10131,no access to SAP module after role change please help asap,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Engineering,True,True,2025-09-19T00:00:00Z
INC-10132,new team member needs same access as colleague this is urgent,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Operations,True,True,2026-01-13T00:00:00Z
INC-10133,network adapter not detected after driver update need this fixed today this is urgent,Network/Connectivity,P3,Update network adapter driver,network_driver_update,standard,Procurement,True,True,2025-06-22T00:00:00Z
INC-10134,"Hi team, access request submitted weeks ago still pending approval",Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Finance,True,True,2025-02-25T00:00:00Z
INC-10135,CEO MFA broken after new phone urgent board call tonight,Auth/SSO,P3,Reconfigure or reset MFA / 2FA device,mfa_reconfigure,vip,Legal,False,True,2025-09-03T00:00:00Z
INC-10136,"Hi team, SAP interface jobs failing since yesterday midnight need this fixed today",SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Sales,True,True,2025-04-07T00:00:00Z
INC-10137,removed from security group by mistake lost access,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Marketing,True,True,2025-07-01T00:00:00Z
INC-10138,vpn drops when switching between wifi networks this is urgent,VPN Problems,P3,Push updated VPN configuration to user device,vpn_config_push,standard,Sales,False,True,2025-12-09T00:00:00Z
INC-10139,vpn license expired for our team this is urgent,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,Sales,True,True,2025-01-26T00:00:00Z
INC-10140,network share mounting at login is failing please help asap,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,Finance,True,True,2025-06-27T00:00:00Z
INC-10141,printer shows offline even though its on!!,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,Logistics,True,True,2025-08-06T00:00:00Z
INC-10142,"Hi team, application wont uninstall stuck in programs list",Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Marketing,True,True,2025-11-07T00:00:00Z
INC-10143,new laptop cant setup outlook profile error need this fixed today please help asap,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Procurement,True,True,2025-10-29T00:00:00Z
INC-10144,citrix workspace not launching applications,Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Marketing,True,True,2025-05-11T00:00:00Z
INC-10145,browser keeps reverting to older version after update,Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Operations,True,True,2025-06-25T00:00:00Z
INC-10146,new starter account not activated on joining date,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Engineering,True,True,2025-12-10T00:00:00Z
INC-10147,user promoted needs manager level system access now please help asap,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Legal,True,True,2025-09-28T00:00:00Z
INC-10148,cant install vpn client on new laptop need this fixed today,VPN Problems,P3,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,Finance,True,True,2025-01-15T00:00:00Z
INC-10149,network driver rollback needed after bad update,Network/Connectivity,P3,Update network adapter driver,network_driver_update,standard,Procurement,True,True,2025-12-01T00:00:00Z
INC-10150,"Hi team, product key invalid for microsoft software on new machine",Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Procurement,True,True,2025-09-14T00:00:00Z
INC-10151,missing dll error when launching business application please help asap,Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Procurement,True,True,2025-03-26T00:00:00Z
INC-10152,vpn profile disappeared after reimaging laptop need this fixed today please help asap,VPN Problems,P3,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,HR,True,True,2025-11-27T00:00:00Z
INC-10153,forgot password secret questions not working,Auth/SSO,P3,Reset user password via LDAP / Active Directory,password_reset,standard,Finance,True,True,2025-03-09T00:00:00Z
INC-10154,"Hi team, software needs specific port opened for activation",Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,Procurement,True,True,2026-01-24T00:00:00Z
INC-10155,network port on patch panel not labelled correctly,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,Legal,True,True,2025-04-21T00:00:00Z
INC-10156,new employee outlook not provisioned after onboarding this is urgent,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,standard,Procurement,True,True,2025-12-06T00:00:00Z
INC-10157,account inactive after extended leave need reactivation,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Legal,True,True,2025-03-31T00:00:00Z
INC-10158,mailbox full cannot receive new emails need this fixed today this is urgent,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,HR,True,True,2025-10-14T00:00:00Z
INC-10159,printer recently moved to new location now not found this is urgent,Printer Issues,P4,Re-map network printer and verify IP address,printer_network_map,standard,Procurement,True,True,2025-01-12T00:00:00Z
INC-10160,cant activate windows on new laptop,Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Procurement,True,True,2025-03-10T00:00:00Z
INC-10161,SAP PM module access required for maintenance engineer,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Engineering,True,True,2025-02-07T00:00:00Z
INC-10162,CFO outlook not working cannot access email,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,vip,Legal,False,True,2025-04-05T00:00:00Z
INC-10163,"Hi team, adobe acrobat crashes with different errors each time",Software Install,P3,Uninstall and clean reinstall application,software_reinstall,standard,Engineering,False,False,2025-10-15T00:00:00Z
INC-10164,need access to project folder for new team member this is urgent,Permissions/Access,P3,Grant folder/share access permissions in AD,permission_folder,standard,Finance,True,True,2025-03-31T00:00:00Z
INC-10165,new software request not in software center need this fixed today,Software Install,P3,Run installer with elevated admin privileges,software_admin_install,standard,Engineering,True,True,2025-11-24T00:00:00Z
INC-10166,SAP background jobs stuck in queued state!!,SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,standard,Sales,True,True,2025-08-24T00:00:00Z
INC-10167,urgent - lost authenticator app access,Auth/SSO,P3,Reconfigure or reset MFA / 2FA device,mfa_reconfigure,standard,Procurement,True,True,2025-02-12T00:00:00Z
INC-10168,VP Sales account locked before quarterly business review,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,vip,Legal,False,True,2025-11-29T00:00:00Z
